4.475	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
4.559	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
4.659	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
4.760	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
4.860	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
4.960	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.060	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.160	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.261	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.361	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.461	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.561	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.661	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.762	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.862	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
5.962	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.062	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.162	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.263	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.363	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.463	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	-1
6.563	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
6.663	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
6.764	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
6.864	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
6.964	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
7.064	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
7.164	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
7.265	0.089	1.001	-43.487	0.683	214.994	359.025	1	2	0
